"species","longitude","latitude","BIO_2","BIO_5","BIO_6","BIO_12","BIO_14","BIO_15","SR_RANGE","SR_HINGHQ","Cation_Exchange_Capacity","Organic_Carbon","pH"
"Spirodela polyrhiza",98.4166666666663,25.0833333333334,10.9387083053589,24.0855007171631,1.37275004386902,1495,16,80.6422424316406,6587,19578.666015625,45,70,55
"Spirodela polyrhiza",137.083333333333,36.75,8.09127998352051,30.2860927581787,-1.06622517108917,2120,127,21.8431491851807,12704,17326.333984375,30,175,58
"Spirodela polyrhiza",140.583333333333,36.25,8.7267894744873,28.1159515380859,-2.09693241119385,1411,42,40.6220817565918,9471,16570.666015625,27,172,57
"Spirodela polyrhiza",24.2499999999997,59.4166666666667,6.11885261535645,21.5713119506836,-7.13852453231812,641,32,32.5490989685059,20426,19867.666015625,40,161,55
"Spirodela polyrhiza",-62.7500000000003,46.25,8.62631225585938,22.8702487945557,-12.77649974823,1236,86,15.1534204483032,16706,19451.666015625,29,138,46
"Spirodela polyrhiza",13.2499999999997,54.4166666666667,7.00302791595459,21.406831741333,-2.07546591758728,613,36,22.1115970611572,18464,19182.333984375,33,148,65
"Spirodela polyrhiza",9.583333333333,47.5833333333334,7.07224988937378,23.1580009460449,-1.57574999332428,1181,62,29.8063411712646,16772,19138.333984375,31,155,57
"Spirodela polyrhiza",133.416666666666,35.0833333333334,8.08662509918213,27.7660007476807,-3.09249997138977,1715,71,45.1747016906738,11703,17888,35,229,50
"Spirodela polyrhiza",5.24999999999966,60.25,5.73465442657471,17.5341472625732,-0.682317078113556,2021,90,30.8874187469482,17715,17741.333984375,36,231,49
"Spirodela polyrhiza",130.916666666666,-13.5833333333333,13.7710218429565,36.8702507019043,14.1207504272461,1419,0,113.04175567627,5492,23664.666015625,9,6,59
"Spirodela polyrhiza",-78.5833333333337,44.4166666666667,10.4340829849243,25.5347499847412,-13.9237499237061,932,58,14.0546560287476,17473,20546.333984375,33,143,63
